table,project,sponsors,link
???,scribe,"TCS Tech Talk Raffle, Best Use of Intel Edison , Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Cipher Tech's Best Digital Forensics Related Hack",http://bitcamp16.devpost.com/submissions/52358-scribe
???,Tempo Tunes,"Math Works Best Hack Using MATLAB, FINRA Music Challenge, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software , BookHolders Best App/Program Using Internet Sourced Data",http://bitcamp16.devpost.com/submissions/52359-tempo-tunes
???,Breeze Bruisers,MLH Best Beginner Hack,http://bitcamp16.devpost.com/submissions/52360-breeze-bruisers
48A,Squid Inc's Stockato,"MLH Best Domain Name from Domain.com, FINRA Music Challenge, BookHolders Best App/Program Using Internet Sourced Data, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52361-squid-inc-s-stockato
???,Table 28: BumbleAidr,"Oculus Best Use of VR, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Use of the SparkPost API, Northrop Grumman Best User Interface Utilizes Hardware and Software ",http://bitcamp16.devpost.com/submissions/52363-table-28-bumbleaidr
???,CareApp ,"Best Use of Intel Edison , Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Northrop Grumman Best User Interface Utilizes Hardware and Software , Best Hack to Serve College Park , MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52365-careapp
???,Contap,"Best Hack Built with Contactually API, MLH Best Use of AWS, Booz Allen Hamilton's Best Internet of Things (IoT) Hack, Best Use of the SparkPost API, Northrop Grumman Best User Interface Utilizes Hardware and Software ",http://bitcamp16.devpost.com/submissions/52366-contap
???,FitnessVR,"Oculus Best Use of VR, BookHolders Best App/Program Using Internet Sourced Data",http://bitcamp16.devpost.com/submissions/52367-fitnessvr
51E,Hackademy,,http://bitcamp16.devpost.com/submissions/52368-hackademy
???,The Smart Stick,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!)",http://bitcamp16.devpost.com/submissions/52369-the-smart-stick
???,Storybook VR,Oculus Best Use of VR,http://bitcamp16.devpost.com/submissions/52370-storybook-vr
???,API experiment,"MLH Best Domain Name from Domain.com, FINRA Music Challenge, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Use of the SparkPost API, BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park , MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52371-api-experiment
39A,The Perfect Partner ,"BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Hack to Serve College Park , MLH Best Beginner Hack, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52372-the-perfect-partner
